"","CTCF","NR3C1","USF1","ESR1","FOXA1","ATF3","BATF","BCL11A","BCL3","BCLAF1","EBF1","EGR1","ELF1","ETS1","IRF4","MEF2A","MEF2C","REST","POU2F2","EP300","PAX5","PBX3","SPI1","RAD21","RXRA","SIN3A","SIX5","SP1","SRF","TAF1"
"ABI3",0,0,0,0,0,0,0,0,0,0,0.275774301173524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABL1",0,0,0,0,0,0.0182184118506568,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0942136248907233,0,0,0,0.0231165227895984,0,0,0,0,0,0
"ABL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABLIM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABLIM3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0269952784490285,0,0,0,0,0,0,0,0,0
"ABR",0.288242102511231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABT1",0,0,0,0,0,0.00772150051580734,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0549357172547166,0,0,0,0,0,0,0,0,0,0
"ABTB2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297309028868568,0,0,0,0,0,0
"ACAA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0442128927362566,0,0,0,0,0,0,0
"ACACA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACAD10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACAD8",0,0,0,0,0.0140454801328557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACAD9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
